,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
201,284,2376,Geely,X7,2019,Saudi,Another Color,Full,2.4,Gas,Automatic,32000,Riyadh,59500,False
202,285,5054,Hyundai,Accent,2020,Saudi,Navy,Full,1.6,Gas,Automatic,10400,Dammam,53000,False
203,286,5380,Mitsubishi,Pajero,2014,Other,Silver,Full,3.5,Gas,Automatic,200000,Qassim,39000,False
204,290,4976,Chevrolet,Silverado,2018,Saudi,Silver,Standard,5.3,Gas,Automatic,127000,Dammam,85000,False
205,291,629,Ford,Taurus,2019,Saudi,Silver,Standard,3.5,Gas,Automatic,54494,Riyadh,85000,False
206,292,6669,Ford,Taurus,2013,Saudi,White,Semi Full,3.5,Gas,Automatic,177000,Dammam,70000,False
207,293,1322,Ford,Fusion,2016,Saudi,Another Color,Standard,2.5,Gas,Automatic,107590,Riyadh,54500,False
208,295,993,Toyota,Corolla,2016,Saudi,White,Standard,1.6,Gas,Automatic,142478,Riyadh,44500,False
209,296,6829,Ford,Expedition,2012,Saudi,Black,Full,4.8,Gas,Manual,304,Al-Ahsa,38000,False
210,299,501,Toyota,Innova,2006,Saudi,Black,Standard,2.5,Gas,Manual,498000,Riyadh,18000,False
211,300,5648,Hyundai,Sonata,2016,Other,White,Full,1.6,Diesel,Automatic,78220,Qassim,62000,False
212,302,107,Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,113000,Riyadh,105000,False
213,303,1976,Hyundai,Elantra,2016,Other,White,Full,1.6,Diesel,Automatic,101715,Qassim,52000,False
214,304,3949,Toyota,Hilux,2016,Other,White,Full,2.7,Gas,Automatic,208,Hail,77000,False
215,306,6217,Toyota,Camry,2009,Saudi,White,Standard,2.5,Gas,Manual,350000,Jeddah,25000,False
216,307,5425,Toyota,Hiace,2015,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,23000,Riyadh,49000,False
217,309,6447,Toyota,Land Cruiser,2012,Saudi,White,Full,8.0,Gas,Automatic,228000,Qassim,112000,False
218,310,4690,Toyota,Furniture,2015,Saudi,White,Semi Full,4.0,Gas,Automatic,205000,Riyadh,61000,False
219,311,2612,Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,19000,Dammam,143000,False
220,313,1302,Kia,Cerato,2018,Saudi,Silver,Semi Full,1.6,Gas,Automatic,161000,Riyadh,33000,False
